date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:13	49263/49263	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2010:43:13%20GMT	https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=11	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance7e59.html	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=10)
13:43:13	207338/207338	---M--	200	added ('OK')	image/png	etag:%225d6e757d-329ea%22	https://dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-19.png	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-19.png	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=10)
13:43:13	2733/2733	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2010:43:14%20GMT	https://dtbk.dtbafrica.com/image-captcha-generate/698175/1599561792	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/image-captcha-generate/698175/1599561792.jpg	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=10)
13:43:14	49263/49263	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2010:43:15%20GMT	https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=12	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance7ae3.html	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=11)
13:43:15	220707/220707	---M--	200	added ('OK')	image/png	etag:%225d6e7573-35e23%22	https://dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-02.png	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-02.png	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=11)
13:43:15	3041/3041	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2010:43:15%20GMT	https://dtbk.dtbafrica.com/image-captcha-generate/698176/1599561793	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/image-captcha-generate/698176/1599561793.jpg	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=11)
13:43:16	49262/49262	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2010:43:16%20GMT	https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=13	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governanced823.html	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=12)
13:43:16	191077/191077	---M--	200	added ('OK')	image/png	etag:%225d6e757e-2ea65%22	https://dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-20.png	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/sites/default/files/DTB-Stakeholder/Code%20of%20Corporate%20Governance%20Practices%20for%20Issuers%20of%20Securities%20to%20the%20Public%202015%20-%20Code-20.png	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=12)
13:43:16	2310/2310	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202020%2010:43:17%20GMT	https://dtbk.dtbafrica.com/image-captcha-generate/698177/1599561795	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/image-captcha-generate/698177/1599561795.jpg	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=12)
13:43:17	49263/49263	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2010:43:18%20GMT	https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=14	C:/My%20Web%20Sites/DTB%20Kenya/dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance3602.html	(from https://dtbk.dtbafrica.com/stakeholder-information/code-of-corporate-governance?q=stakeholder-information/code-of-corporate-governance&page=13)
